id,title_ko,title_en,title_ja,title_zh,title_es,story_ko,story_en,story_ja,story_zh,story_es,q1_ko,q1_en,q1_ja,q1_zh,q1_es,q2_ko,q2_en,q2_ja,q2_zh,q2_es
449,출근길에 하나님을 기억하기,Remembering God on the Way to Work,出勤途中に神様を思い出す,在上班路上记念神,Recordar a Dios en el camino al trabajo,"출근길, 늘 핸드폰만 보던 내가 오늘은 하늘을 올려다보며 '하나님, 오늘도 함께해주세요'라고 속삭였어요. 그 한마디가 하루의 시작을 다르게 만들었어요.","On my way to work, instead of staring at my phone as usual, I looked up at the sky and whispered, 'God, be with me today.' That one sentence changed how my day began.",出勤途中、いつもはスマホばかり見ていた私が、今日は空を見上げて「神様、今日も共にいてください」とささやきました。その一言が一日の始まりを変えてくれました。,上班途中，我不像平常那样只看手机，而是抬头望向天空轻声说：“神啊，今天也请与我同在。”这一句话改变了我一整天的开始。,"En el camino al trabajo, en lugar de mirar mi teléfono como siempre, miré al cielo y susurré: 'Dios, acompáñame hoy'. Esa frase cambió el inicio de mi día.",나는 하루를 어떻게 시작하고 있나요?,How am I starting my day?,私は一日をどう始めていますか？,我如何开始我的一天？,¿Cómo estoy comenzando mi día?,하나님과 동행하는 아침을 만들고 있나요?,Am I creating mornings with God's presence?,神様と共に歩む朝を作っていますか？,我是否营造了与神同行的早晨？,¿Estoy construyendo mañanas con la presencia de Dios?
450,북한 주민을 위한 구체적인 기도제목 만들기,Creating Specific Prayer Topics for North Koreans,北朝鮮の住民のために具体的な祈りの課題を立てる,为北韩居民设定具体祷告事项,Crear motivos de oración específicos por los norcoreanos,"북한에서 태어난 한 탈북자의 간증을 듣고 큰 충격을 받았어요. 그날부터 저는 '오늘은 북한의 엄마들, 내일은 아이들'처럼 구체적으로 기도하고 있어요.","Hearing the testimony of a defector from North Korea deeply moved me. Since then, I’ve been praying specifically—'Today for North Korean mothers, tomorrow for the children.'",北朝鮮出身の脱北者の証しを聞いて衝撃を受けました。それ以来、私は「今日は北朝鮮のお母さんたち、明日は子どもたち」といった具体的な祈りをしています。,听到一位北韩脱北者的见证让我大为震撼。从那天起，我就开始具体地祷告，“今天为北韩的妈妈们，明天为孩子们”。,"Escuché el testimonio de un desertor de Corea del Norte y me impactó profundamente. Desde entonces, oro específicamente: 'Hoy por las madres norcoreanas, mañana por los niños'.",북한 형제자매를 위해 어떤 기도제목을 가졌나요?,What prayer topic do I have for North Korean brothers and sisters?,北朝鮮の兄弟姉妹のためにどんな祈りの課題を持っていますか？,我为北韩弟兄姊妹设定了什么祷告事项？,¿Qué tema de oración tengo por los hermanos norcoreanos?,내 기도가 하나님께서 사용하실 도구가 될 수 있을까요?,Can my prayer be a tool God will use?,私の祈りが神様の道具となるでしょうか？,我的祷告能成为神所使用的工具吗？,¿Puede mi oración ser una herramienta que Dios utilice?
451,하나님의 시선으로 사람 바라보기,Seeing People Through God's Eyes,神様の視点で人を見る,用神的眼光看待人,Ver a las personas con los ojos de Dios,"버스에서 시끄럽게 통화하는 사람을 보며 짜증이 났어요. 그런데 '하나님이 저 사람을 어떻게 보실까?'라고 생각해보니, 내 마음이 부드러워졌어요.","I got annoyed seeing someone talking loudly on the bus. But when I asked, 'How would God see this person?' my heart softened.",バスでうるさく通話している人を見て苛立ちました。でも「神様はこの人をどう見ておられるのだろう？」と思ったら、心が和らぎました。,看到有人在公交车上大声打电话让我很烦躁。但当我想到“神会如何看这人？”时，我的心柔和了下来。,"Me molestó ver a alguien hablando fuerte en el autobús. Pero al pensar '¿Cómo ve Dios a esta persona?', mi corazón se suavizó.",오늘 나는 누구를 판단했나요?,Who did I judge today?,今日は誰を判断してしまいましたか？,今天我评断了谁？,¿A quién juzgué hoy?,하나님의 눈으로 보면 그 사람은 어떤 존재인가요?,How would that person look through God's eyes?,神様の目にはその人はどんな存在でしょうか？,用神的眼光看，那人是什么样的？,¿Cómo vería Dios a esa persona?
452,일상 속 예배의 마음 갖기,Worshiping God in Daily Life,日常の中で礼拝の心を持つ,在日常中拥有敬拜的心,Tener un corazón de adoración en lo cotidiano,"설거지를 하며 찬양을 틀어놓고 따라 부르기 시작했어요. 평범한 시간이 하나님께 드리는 예배로 바뀌었고, 마음이 가벼워졌어요.","I started playing praise music and singing along while doing the dishes. An ordinary moment turned into worship for God, and my heart felt lighter.",皿洗いをしながら賛美歌を流して歌い始めました。普通の時間が神様への礼拝に変わり、心が軽くなりました。,在洗碗时我开始播放赞美诗并跟唱。平凡的时刻变成了对神的敬拜，我的心也变得轻松了。,Comencé a escuchar alabanzas y a cantar mientras lavaba los platos. Un momento ordinario se convirtió en adoración a Dios y mi corazón se sintió más ligero.,오늘 나는 어떤 순간을 예배로 바꾸었나요?,What moment today did I turn into worship?,今日はどんな瞬間を礼拝に変えましたか？,今天我把哪个时刻变成了敬拜？,¿Qué momento transformé hoy en adoración?,하나님은 내 일상에서 어떤 예배를 원하실까요?,What kind of worship does God desire from my daily life?,神様は私の日常の中でどんな礼拝を望んでおられますか？,神希望我在日常中献上怎样的敬拜？,¿Qué tipo de adoración desea Dios de mi vida diaria?
453,북한 선교 후원 저금통 만들기,Making a Mission Fund Jar for North Korea,北朝鮮宣教の募金箱を作る,制作一个北韩宣教奉献罐,Crear una alcancía para la misión en Corea del Norte,"작은 저금통을 하나 만들고 '북한 선교 헌금'이라고 적었어요. 커피 한 잔 안 마신 돈을 넣기 시작했는데, 하나님께 드린다는 마음에 기쁨이 생겼어요.",I made a small jar labeled 'North Korea Mission Offering.' I started putting in money I saved from skipping coffee. It gave me joy to dedicate it to God.,「北朝鮮宣教献金」と書かれた小さな貯金箱を作りました。コーヒーを我慢して浮いたお金を入れ始め、神様に捧げるという思いに喜びが湧いてきました。,我做了一个标着“北韩宣教奉献”的小存钱罐。把省下一杯咖啡的钱放进去，想到是献给神的，就感到很喜乐。,Hice una pequeña alcancía con la etiqueta 'Ofrenda Misionera para Corea del Norte'. Comencé a poner el dinero que ahorraba al no tomar café. Me dio alegría dedicarlo a Dios.,나는 북한 선교를 위해 어떤 실천을 하고 있나요?,What am I doing to support missions in North Korea?,北朝鮮宣教のためにどんな実践をしていますか？,我为北韩宣教做了什么实际行动？,¿Qué estoy haciendo para apoyar la misión en Corea del Norte?,작은 정성이 하나님의 역사에 쓰일 수 있다는 걸 믿나요?,Do I believe my small offering can be used by God?,小さな献金が神様の御業に使われると信じていますか？,我相信神能使用我微小的奉献吗？,¿Creo que mi pequeña ofrenda puede ser usada por Dios?
454,하나님께 하루를 맡기며 잠들기,Ending the Day Entrusting It to God,神様に一日を委ねて眠りにつく,将这一天交托给神后入睡,Dormir confiando el día a Dios,"하루를 마치고 침대에 누웠을 때, 오늘 하루 하나님이 나와 함께 하셨음을 떠올리며 감사기도를 드렸어요. 평안한 잠이 왔고, 다음 날도 평안했어요.","Lying in bed at the end of the day, I remembered that God was with me today and gave thanks. I slept peacefully and started the next day with peace.",一日を終えてベッドに横になったとき、今日一日神様が共におられたことを思い出し、感謝の祈りを捧げました。平安な眠りが訪れ、次の日も平安でした。,一天结束后躺在床上，我回想起今天神与我同在，并向祂献上感恩的祷告。我安然入睡，第二天也很平安。,"Al acostarme al final del día, recordé que Dios estuvo conmigo y le di gracias. Dormí en paz y comencé el siguiente día con tranquilidad.",나는 하루의 끝을 어떻게 마무리하고 있나요?,How do I end my day?,一日の終わりをどう締めくくっていますか？,我如何结束我的一天？,¿Cómo termino mi día?,하나님께 감사로 하루를 드리고 있나요?,Am I ending it with gratitude to God?,感謝をもって神様に捧げていますか？,我是否以感恩向神献上我的一天？,¿Lo termino con gratitud a Dios?
455,북한을 위한 금식 기도 하루 도전하기,Fasting One Day in Prayer for North Korea,北朝鮮のために一日断食祈祷に挑戦する,为北韩禁食祷告一天的挑战,Ayunar un día como oración por Corea del Norte,"북한의 자유를 위해 하루 금식을 실천했어요. 배는 고팠지만, 그 고통을 통해 북한 주민의 아픔을 조금이라도 느낄 수 있었고, 기도가 깊어졌습니다.","I fasted for a day to pray for freedom in North Korea. Though I felt hungry, the discomfort helped me connect with the suffering of North Koreans, and my prayers deepened.",北朝鮮の自由のために一日断食しました。お腹は空きましたが、その痛みを通して北朝鮮の人々の苦しみを少しでも感じることができ、祈りも深まりました。,我为北韩的自由禁食一天。虽然感到饥饿，但通过这种痛苦，我能稍微体会北韩人民的痛苦，我的祷告也更加深切。,"Ayuné un día por la libertad en Corea del Norte. Aunque sentí hambre, esa incomodidad me ayudó a conectarme con el sufrimiento del pueblo norcoreano, y mi oración se profundizó.",나는 북한을 위해 어떤 헌신을 할 수 있을까요?,What kind of sacrifice can I make for North Korea?,北朝鮮のためにどんな献身ができますか？,我能为北韩做出怎样的奉献？,¿Qué clase de entrega puedo hacer por Corea del Norte?,하나님이 나의 금식기도를 기뻐하실까요?,Would God be pleased with my fasting prayer?,私の断食祈祷を神様は喜ばれるでしょうか？,神会喜悦我的禁食祷告吗？,¿Se agradará Dios de mi ayuno y oración?
456,하루 한 끼 북한을 위해 금식하며 기도하기,Fasting One Meal to Pray for North Korea,北朝鮮のために一食断食して祈る,为北韩禁食一餐并祷告,Ayunar una comida para orar por Corea del Norte,"어느 날 점심을 건너뛰고 북한 지하교회 성도들을 위해 기도했습니다. 배고픔이 하나님을 더 깊이 의지하게 만들었고, 그들의 삶을 잠시나마 공감할 수 있는 시간이 되었습니다.","One day, I skipped lunch and prayed for underground church believers in North Korea. The hunger made me rely on God more deeply and helped me briefly empathize with their lives.",ある日、昼食を抜いて北朝鮮の地下教会の信徒たちのために祈りました。空腹が神様へのより深い依存を生み出し、彼らの生活に少しでも共感する時間となりました。,有一天，我跳过午餐为北韩地下教会的信徒祷告。饥饿使我更深地依靠神，也让我稍微体会他们的生活。,"Un día, omití el almuerzo y oré por los creyentes de la iglesia subterránea en Corea del Norte. El hambre me llevó a depender más de Dios y a empatizar brevemente con sus vidas.",오늘 나는 어떤 방식으로 북한을 위한 기도를 실천했나요?,How did I pray for North Korea today?,今日はどのようにして北朝鮮のために祈りましたか？,今天我是如何为北韩祷告的？,¿Cómo oré hoy por Corea del Norte?,하나님은 나의 기도를 통해 어떤 위로를 주실까요?,What kind of comfort might God give through my prayers?,神様は私の祈りを通してどんな慰めを与えてくださるでしょうか？,神会透过我的祷告带来怎样的安慰？,¿Qué consuelo puede dar Dios a través de mis oraciones?
457,불편함 속에서도 감사 찾기,Finding Gratitude in Discomfort,不便の中でも感謝を見つける,在不便中寻找感恩,Encontrar gratitud en medio de la incomodidad,"지하철이 고장 나고, 회사에는 전기가 나갔습니다. 짜증날 수 있는 하루였지만, 문득 북한 주민들의 삶이 떠올랐습니다. 감사할 조건을 세어보니, 오히려 마음이 편안해졌습니다.","The subway broke down, and the power went out at work. It could have been a frustrating day, but I thought of the lives of North Koreans. Listing reasons to be thankful brought peace to my heart.",地下鉄が故障し、職場では停電がありました。イライラする一日になりそうでしたが、ふと北朝鮮の人々の生活を思い出しました。感謝できることを数えてみたら、心が落ち着きました。,地铁故障，办公室停电，本该是令人烦躁的一天，但我突然想到了北韩居民的生活。列出我可以感恩的事情后，心变得平静了。,"El metro se averió y en el trabajo se fue la luz. Podría haber sido un día frustrante, pero pensé en la vida de los norcoreanos. Al enumerar razones para agradecer, mi corazón se llenó de paz.",나는 오늘 어떤 불편함 속에서도 감사를 찾았나요?,Did I find gratitude in any discomfort today?,今日はどんな不便の中でも感謝を見つけましたか？,今天我在什么不便中找到了感恩？,¿Encontré gratitud en alguna incomodidad hoy?,하나님은 나에게 어떤 시선을 주시기를 원하실까요?,What kind of perspective does God want me to have?,神様は私にどんな視点を与えたいと願っておられますか？,神希望我拥有怎样的眼光？,¿Qué perspectiva quiere Dios que tenga?
458,북한 청소년을 위한 편지 써보기,Writing a Letter for North Korean Youth,北朝鮮の若者への手紙を書いてみる,给北韩青少年写一封信,Escribir una carta para jóvenes norcoreanos,교회 청소년부에서 북한 또래 친구들에게 편지를 써보는 활동을 했습니다. '하나님은 너를 사랑하신다'는 말을 적으며 눈물이 났습니다. 마음으로 연결된 형제임을 느꼈습니다.,"At church, we wrote letters to peers in North Korea. Writing 'God loves you' brought tears to my eyes. I felt we were truly connected in spirit.",教会のユースで、北朝鮮の同年代の若者たちに手紙を書く活動をしました。「神様はあなたを愛しておられる」と書きながら、涙が出ました。心でつながった兄弟であると感じました。,在教会青少年部，我们开展了写信给北韩同龄人的活动。当我写下“神爱你”时泪流满面，感受到我们是心灵相连的兄弟。,"En la iglesia, escribimos cartas a jóvenes de Corea del Norte. Al escribir 'Dios te ama', se me llenaron los ojos de lágrimas. Sentí que estábamos conectados de corazón.",나는 북한의 다음 세대를 위해 어떤 기도를 드렸나요?,What have I prayed for the next generation of North Korea?,北朝鮮の次世代のためにどんな祈りをしましたか？,我为北韩的下一代祷告了什么？,¿Qué he orado por la próxima generación de Corea del Norte?,하나님께서 그 땅의 청년들에게 어떤 소망을 주시길 원하실까요?,What kind of hope might God want to give to the youth there?,神様はその地の若者たちにどんな希望を与えたいと願っておられるでしょうか？,神希望给予那地青年怎样的盼望？,¿Qué esperanza querrá Dios darles a los jóvenes de allí?
